subsys4	010B	001B	009B	012B	013A	014B	017B	018B
dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133)	4	7	12	506	411	513	2188	588
dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)	14	20	12	1956	1308	2346	5456	2725
dTDP-rhamnosyl transferase RfbF (EC 2.-.-.-)	3	4	4	69	3	20	149	100
Duplicated ATPase component BL0693 of energizing module of predicted ECF transporter	7	84	17	528	358	333	289	71
Duplicated ATPase component MtsB of energizing module of methionine-regulated ECF transporter	457	1441	613	2	4	2	1	1
Duplicated ATPase component of energizing module of predicted B12-regulated ECF transporter for dimethylbenzimidazole	1	2	0	9	61	57	1068	293
Duplicated ATPase component TTE1589 of energizing module of predicted methylthioadenosine ECF transporter	0	1	1	13	67	365	53	38
Duplicated ATPase component YkoD of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine	546	1141	627	710	187	757	778	902
Efflux pump Lde	69	253	32	21	48	52	35	9
ElaA protein	1	34	0	1	1	2	1	1
Elastin binding protein EbpS	0	0	2	0	0	0	2	0
Electron transfer flavoprotein, alpha subunit	94	265	93	20895	12072	20555	24918	11527
Electron transfer flavoprotein, beta subunit	54	130	40	1082	468	640	3108	2401
Electron transport complex protein RnfA	4	8	6	636	178	45	229	39
Electron transport complex protein RnfB	11	19	4	2559	408	786	1285	736
Electron transport complex protein RnfC	4	13	2	1170	172	45	552	28
Electron transport complex protein RnfD	3	19	3	914	152	48	327	41
Electron transport complex protein RnfE	5	5	4	1095	137	34	306	116
Electron transport complex protein RnfG	3	9	3	1288	85	67	301	52
Endo-1,4-beta-mannosidase	0	0	0	0	0	0	0	0
Endo-1,4-beta-xylanase A precursor (EC 3.2.1.8)	1	1	1	1	1	2	1	1
Endoglucanase (EC 3.2.1.4)	0	0	0	0	1	0	33	0
Endonuclease III (EC 4.2.99.18)	373	1008	636	1470	688	1110	1463	939
Endonuclease IV (EC 3.1.21.2)	1	2	1	2	2	1	5	2
Endonuclease VIII	0	0	0	0	0	0	0	0
Enolase (EC 4.2.1.11)	22995	72328	27884	50190	42586	75987	92028	40586
Enoyl-[acyl-carrier-protein] reductase [FMN] (EC 1.3.1.9)	236	455	206	2423	502	1196	1797	1295
Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)	179	24	9	782	1498	3683	3452	2069
Enoyl-[acyl-carrier-protein] reductase [NADPH] (EC 1.3.1.10)	0	0	0	0	0	0	0	0
Enoyl-CoA hydratase (EC 4.2.1.17)	0	0	0	2	0	2	0	0
Enterobactin esterase	0	0	0	0	0	0	0	0
Enterobactin exporter EntS	0	0	0	1	0	0	0	0
Epi-inositol hydrolase (EC 3.7.1.-)	0	0	0	3	0	2	2	1
Epimerase KguE	1154	41	728	0	0	1	1	0
Error-prone repair protein UmuD	1	3	2	70	1	4	87	33
Error-prone, lesion bypass DNA polymerase V (UmuC)	0	0	1	18	3	67	31	3
Erythritol kinase EryA (EC 2.7.1.27)	0	0	0	0	0	0	0	0
Erythronate-4-phosphate dehydrogenase (EC 1.1.1.290)	0	1	0	0	0	0	0	0
ESAT-6/Esx family secreted protein EsxA/YukE	1	1	1	1	1	1	1	4
Esterase ybfF (EC 3.1.-.-)	1	0	2	0	0	5	1	0
Ethanolamine ammonia-lyase heavy chain (EC 4.3.1.7)	1	1	0	0	0	0	7	0
Ethanolamine ammonia-lyase light chain (EC 4.3.1.7)	2	1	0	23	53	219	116	133
Ethanolamine operon regulatory protein	0	0	0	0	1	0	1	0
Ethanolamine permease	0	0	0	0	0	0	4	0
Ethanolamine sensory transduction histidine kinase	3	6	1	16	146	425	470	326
Ethanolamine two-component response regulator	0	0	0	0	0	2	3	0
Ethanolamine utilization polyhedral-body-like protein EutK	0	0	0	0	0	0	0	0
Ethanolamine utilization polyhedral-body-like protein EutL	0	0	0	2	0	2	13	0
Ethanolamine utilization polyhedral-body-like protein EutN	1	1	1	4	1	4	11	1
Ethanolamine utilization protein EutA	0	0	0	20	20	48	107	32
Ethanolamine utilization protein EutG	0	0	0	0	0	0	0	0
Ethanolamine utilization protein EutJ	0	3	0	3	1	3	1	7
Ethanolamine utilization protein EutP	0	0	0	0	0	0	0	0
Ethanolamine utilization protein EutQ	0	0	0	0	0	0	0	0
Ethanolamine utilization protein similar to PduA/PduJ	2	1	1	11	1	7	29	1
Ethanolamine utilization protein similar to PduU	0	0	0	0	0	0	0	0
Ethanolamine utilization protein similar to PduV	0	0	0	25	263	69	271	42
Evolved beta-D-galactosidase transcriptional repressor	143	321	211	0	0	0	0	0
Evolved beta-D-galactosidase, alpha subunit	0	2	1	57	1	6	70	2
Evolved beta-D-galactosidase, beta subunit	8	1	0	72	1	1	148	10
Excinuclease ABC subunit A	544	1404	771	1649	1094	1850	2161	1418
Excinuclease ABC subunit A paralog in greater Bacteroides group	1	2	2	154	181	377	720	477
Excinuclease ABC subunit A paralog of unknown function	96	301	168	2	12	11	25	2
Excinuclease ABC subunit B	553	1361	755	1179	993	1815	2465	1287
Excinuclease ABC subunit C	588	1649	628	948	646	1283	1407	904
Excinuclease cho (excinuclease ABC alternative C subunit)	0	0	0	0	0	0	0	0
Exodeoxyribonuclease I (EC 3.1.11.1)	1	0	0	0	0	0	0	0
Exodeoxyribonuclease III (EC 3.1.11.2)	823	1628	839	2215	1660	3308	5632	2478
Exodeoxyribonuclease V alpha chain (EC 3.1.11.5)	0	0	0	0	0	0	0	0
Exodeoxyribonuclease V beta chain (EC 3.1.11.5)	0	0	1	1	3	46	2	1
Exodeoxyribonuclease V gamma chain (EC 3.1.11.5)	0	0	0	1	0	0	1	0
Exodeoxyribonuclease VII large subunit (EC 3.1.11.6)	3257	7956	4460	1504	1259	1848	1932	1051
Exodeoxyribonuclease VII small subunit (EC 3.1.11.6)	3902	11368	6652	1484	1362	2307	3152	1894
Exodeoxyribonuclease X (EC 3.1.11.-)	0	0	0	0	0	0	0	0
Exonuclease SbcC	1279	2175	835	386	244	717	1620	773
Exonuclease SbcD	7	12	4	281	367	837	1648	945
Exopolyphosphatase (EC 3.6.1.11)	11	23	15	2574	394	1043	1953	1408
Exopolysaccharide biosynthesis glycosyltransferase EpsF (EC 2.4.1.-)	0	0	0	0	0	0	0	0
Exopolysaccharide biosynthesis transcription antiterminator, LytR family	8	25	14	111	198	163	185	30
Exopolysaccharide biosynthesis transcriptional activator EpsA	7	8	13	21	10	6	24	15
Exopolysaccharide production protein ExoZ	0	0	0	65	2	24	279	186
Exoribonuclease II (EC 3.1.13.1)	0	0	0	0	0	0	0	0
Export ABC transporter ATP-binding protein	1	1	4	1	5	10	5	1
Extracellular deoxyribonuclease Dns (EC 3.1.21.-)	0	1	0	0	0	0	0	0
Family 13 glycosyl hydrolase, row 724	0	1	0	0	0	1	0	0
Fe-bacillibactin uptake system FeuD	0	0	0	0	57	109	170	85
Fe-S-cluster-containing hydrogenase components 2	0	0	0	0	0	1	0	0
Fe2+/Zn2+ uptake regulation proteins	0	2	0	2	0	2	0	0
FemC, factor involved in methicillin resistance	0	0	4	0	0	0	0	0
FemD, factor involved in methicillin resistance	1	0	1	10	20	7	26	16
Ferredoxin	72	31	13	893	908	1437	4990	1489
Ferredoxin reductase	1	1	1	3	1	1	2	9
Ferredoxin--NADP(+) reductase (EC 1.18.1.2)	0	0	0	0	0	0	1	0
Ferredoxin--sulfite reductase (EC 1.8.7.1)	0	0	0	0	0	2	0	0
Ferredoxin-like protein	0	0	0	0	0	3	0	6
Ferredoxin-like protein FixX	1	1	3	1	1	4	1	1
Ferredoxin-like protein YdiT	0	0	0	0	0	0	0	0
Ferredoxin-like protein YgcO	0	7	0	0	0	3	0	0
Ferredoxin-type protein NapF (periplasmic nitrate reductase)	0	0	0	2	0	0	0	0
Ferredoxin-type protein NapG (periplasmic nitrate reductase)	0	0	0	0	1	3	1	2
Ferredoxin, 2Fe-2S	0	0	0	0	0	3	0	0
Ferric enantio-pyochelin transport system periplasmic substrate-binding protein	1	7	1	137	30	74	157	122
Ferric hydroxamate ABC transporter (TC 3.A.1.14.3), ATP-binding protein FhuC	0	0	0	0	0	0	0	0
Ferric hydroxamate ABC transporter (TC 3.A.1.14.3), periplasmic substrate binding protein FhuD	0	0	0	0	0	0	0	0
Ferric hydroxamate ABC transporter (TC 3.A.1.14.3), permease component FhuB	0	0	0	0	0	0	0	0
Ferric hydroxamate outer membrane receptor FhuA	0	0	0	2	1	2	14	5
Ferric iron ABC transporter, ATP-binding protein	4	7	2	1004	670	769	2986	40
Ferric iron ABC transporter, iron-binding protein	4	7	7	477	242	438	976	447
Ferric iron ABC transporter, permease protein	1	3	1	18	11	12	82	24
Ferric reductase (1.6.99.14)	0	0	0	0	0	1	1	0
Ferric siderophore transport system, biopolymer transport protein ExbB	72	248	88	10375	13343	27286	31561	16421
Ferric siderophore transport system, periplasmic binding protein TonB	33	72	28	8457	12677	23861	41033	16555
Ferric uptake regulation protein	1	1	0	28	169	47	179	40
Ferric uptake regulation protein FUR	33	68	37	3442	2102	5491	8315	4094
Ferrichrome-iron receptor	0	1	0	1	0	0	6	4
Ferrochelatase, protoheme ferro-lyase (EC 4.99.1.1)	3	3	8	146	281	649	146	37
Ferrous iron transport permease EfeU	1	0	0	0	0	0	0	1
Ferrous iron transport peroxidase EfeB	0	0	0	0	0	0	0	0
Fibronectin-binding protein	3	15	6	3	3	13	9	5
fig|1680.3.peg.1535	0	1	1	79	0	1	180	129
fig|196162.6.peg.3754	0	0	0	0	0	0	0	0
fig|199310.1.peg.2753	0	0	0	0	0	0	0	0
fig|205921.3.peg.954	0	0	0	0	0	0	0	0
fig|211110.1.peg.1840	0	0	0	0	0	0	0	0
fig|220664.3.peg.2615	0	0	0	0	0	0	1	0
fig|224308.1.peg.1165	0	0	3	0	0	0	1	0
fig|226185.1.peg.274	2356	156	1378	1	2	1	3	1
fig|262543.4.peg.589	0	0	0	3	0	0	0	0
fig|269801.1.peg.4266	409	886	706	1	3	1	4	4
fig|272558.1.peg.4038	0	0	0	15	0	0	24	7
fig|272621.3.peg.1430	245	598	459	201	783	577	191	44
fig|272844.1.peg.1772	0	0	0	1	0	0	0	0
fig|279010.5.peg.2475	0	75	0	0	2	1	4	1
fig|290402.34.peg.2697	0	0	0	0	0	0	0	0
fig|295405.3.peg.746	2	3	0	87	137	228	365	200
fig|312309.11.peg.170	0	0	0	0	0	0	0	0
fig|314269.3.peg.1187	0	1	0	0	0	1	0	0
fig|324831.10.peg.1656	0	1	1	0	1	1	0	0
fig|335541.4.peg.1533	0	1	0	10	44	7	24	2
fig|349161.4.peg.1621	0	0	0	5	0	0	2	8
fig|357809.4.peg.1055	0	2	0	2	1	2	2	2
fig|390333.6.peg.1604	214	507	413	245	231	356	504	289
fig|390333.6.peg.1879	0	0	0	0	0	0	0	0
fig|392500.3.peg.692	0	2	0	1	15	34	4	11
fig|405566.3.peg.1113	0	31	0	1	3	1	1	1
fig|420246.5.peg.1544	0	1	0	0	1	1	6	0
fig|446462.5.peg.4182	0	0	0	0	0	0	0	1
fig|471856.4.peg.1702	0	0	0	2	0	0	0	0
fig|543734.3.peg.667	0	0	0	0	0	0	0	0
fig|557433.3.peg.1719	0	0	5	0	0	0	0	0
fig|817.1.peg.3752	0	0	0	32	0	10	53	13
fig|93062.4.peg.177	0	0	0	0	0	0	0	0
fig|93062.4.peg.2498	0	0	0	0	0	0	0	0
FIG000233: metal-dependent hydrolase	8072	17132	10363	3512	2629	6649	5905	3743
FIG000557: hypothetical protein co-occurring with RecR	2888	7764	3626	5166	4412	6853	6573	2528
FIG000859: hypothetical protein	8332	23696	10668	18830	18760	26342	31923	17337
FIG001341: Probable Fe(2+)-trafficking protein YggX	1	4	1	4	1	1	1	1
FIG001583: hypothetical protein, contains S4-like RNA binding domain	2033	5567	2454	2820	30	55	139	82
FIG001590: Putative conserved exported protein precursor	0	0	1	0	0	0	0	0
FIG001721: Predicted N6-adenine-specific DNA methylase	734	3336	1712	204	370	420	160	40
FIG001802: Putative alkaline-shock protein	18006	52868	27364	4505	8045	7483	5419	1504
FIG001960: FtsZ-interacting protein related to cell division	4413	14246	8180	10116	7326	9169	5235	1491
FIG002344: Hydrolase (HAD superfamily)	512	27	2	30	22	54	103	53
FIG002708: Protein SirB1	0	0	0	0	0	0	0	1
FIG002958: hypothetical protein	4918	11655	4876	2667	6277	5735	4275	1794
FIG003307: hypothetical protein	9	9	6	1265	706	2384	2873	1764
FIG003573: hypothetical protein	1	3	2	19	197	417	493	414
FIG004453: protein YceG like	16	40	64	2034	2242	3609	3870	1976
FIG004454: RNA binding protein	20	35	27	635	322	538	1312	412
FIG005080: Possible exported protein	0	1	0	0	0	0	0	0
FIG005121: SAM-dependent methyltransferase (EC 2.1.1.-)	0	0	0	0	0	1	0	0
FIG005189: putative transferase clustered with tellurite resistance proteins TehA/TehB	0	0	0	1	0	0	0	0
FIG005453: Putative DeoR-family transcriptional regulator	0	0	0	0	0	0	0	0
FIG005666: putative helicase	1	1	0	499	125	225	839	890
FIG005686: hypothetical protein	510	1160	475	173	185	225	349	89
FIG006045: Sigma factor, ECF subfamily	1	1	1	1	1	151	1	1
FIG006126: DNA helicase, restriction/modification system component YeeB	0	1	16	0	22	1	0	0
FIG006542: Phosphoesterase	1	2	1	50	94	74	132	17
FIG006988: Lipase/Acylhydrolase with GDSL-like motif	1	1	5	3	1	1	1	1
FIG007079: UPF0348 protein family	1346	3366	2087	1067	1618	1824	1086	287
FIG007959: peptidase, M16 family	7	15	4	1020	434	1214	1999	789
FIG009886: phosphoesterase	7	9	15	11	4	7	6	4
FIG014574: hypothetical protein	0	0	0	0	1	0	0	0
FIG015094: hypothetical protein	607	2127	1340	308	549	907	243	68
FIG019733: possible DNA-binding protein	5	10	5	2283	564	1473	5039	4265
FIG021862: membrane protein, exporter	0	0	0	42	144	235	286	196
FIG027190: Putative transmembrane protein	0	2	0	296	875	1153	1654	1069
FIG037995: Hypothetical protein	0	0	0	0	16	234	0	0
FIG042796: Hypothetical protein	1	3	1	386	208	12	621	376
FIG045374: Type II restriction enzyme, methylase subunit YeeA	1	7	1	0	26	0	22	0
FIG094199: Fumarylacetoacetate hydrolase	0	0	0	1	0	3	0	0
FIG133424: Low molecular weight protein tyrosine phosphatase (EC 3.1.3.48)	0	0	0	0	0	0	0	0
FIG137864: putative endonuclease containing a URI domain	0	0	0	0	0	3	0	0
FIG138056: a glutathione-dependent thiol reductase	0	0	0	0	0	0	0	0
FIG138315: Putative alpha helix protein	0	0	0	0	0	0	0	0
FIG138517: Putative lipid carrier protein	0	0	0	0	0	0	0	0
FIG139552: Putative protease	1	0	0	0	0	0	0	0
FIG139598: Potential ribosomal protein	2520	132	137	21927	12705	22975	33212	15822
FIG139928: Putative protease	0	0	0	0	0	0	0	0
FIG143828: Hypothetical protein YbgA	0	2	0	0	0	0	0	0
FIG146085: 3'-to-5' oligoribonuclease A, Bacillus type	3065	10126	3634	1764	1363	1477	1242	423
FIGfam010146: Two component system histidine kinase	0	0	0	0	0	0	0	0
FIGfam013899: ABC transporter substrate-binding protein	0	0	0	1	1	5	6	0
FIGfam014588: Predicted regulator of CFA/I fimbriae	0	0	0	0	0	0	0	0
FIGfam135315: Iojap-related protein	2412	5187	3258	2605	3209	3828	7857	3487
Fimbriae usher protein StcC	0	1	0	0	0	0	0	1
Fimbrial protein YadN	1	1	1	0	0	0	0	0
Firmicutes ribosomal L7Ae family protein	1196	5	5	3735	2	2	2	6
FKBP-type peptidyl-prolyl cis-trans isomerase fklB (EC 5.2.1.8)	24	30	16	4055	6712	9569	19893	10595
FKBP-type peptidyl-prolyl cis-trans isomerase FkpA precursor (EC 5.2.1.8)	5	9	3	582	643	1202	2050	1114
FKBP-type peptidyl-prolyl cis-trans isomerase slpA (EC 5.2.1.8)	0	0	0	0	0	0	0	0
FKBP-type peptidyl-prolyl cis-trans isomerase SlyD (EC 5.2.1.8)	12	22	5	2096	1578	3908	6186	2625
Flagellar assembly protein FliH	3	0	1	7	0	0	1	0
Flagellar basal-body P-ring formation protein FlgA	0	0	0	0	0	0	0	0
Flagellar basal-body rod modification protein FlgD	0	0	0	3	0	0	0	0
Flagellar basal-body rod protein FlgB	4	0	3	1	1	1	4	4
Flagellar basal-body rod protein FlgC	1	1	6	1	1	1	1	1
Flagellar basal-body rod protein FlgF	1	0	2	1	5	0	2	5
Flagellar basal-body rod protein FlgG	2	0	1	0	1	3	3	2
Flagellar biosynthesis protein FlhA	1	1	0	0	0	0	0	1
Flagellar biosynthesis protein FliL	0	0	2	0	0	0	0	0
Flagellar biosynthesis protein FliO	0	0	0	1	0	0	0	0
Flagellar biosynthesis protein FliR	0	0	0	1	0	0	0	0
Flagellar biosynthesis protein FliS	5	1	4	3	18	3	3	3
Flagellar hook protein FlgE	4	0	3	1	3	2	1	2
Flagellar hook-associated protein 3	0	4	0	1	1	1	1	1
Flagellar hook-associated protein FlgK	4	0	1	3	2	4	2	3
Flagellar hook-associated protein FlgL	0	1	1	1	3	0	4	1
Flagellar hook-associated protein FliD	0	0	0	0	0	0	0	1
Flagellar hook-basal body complex protein FliE	5	0	0	0	0	0	0	0
Flagellar hook-length control protein FliK	0	1	0	0	0	2	1	0
Flagellar M-ring protein FliF	1	0	1	5	1	6	5	5
Flagellar motor rotation protein MotA	3	0	0	6	3	2	3	2
Flagellar motor rotation protein MotB	1	1	1	2	3	2	2	4
Flagellar motor switch protein FliG	273	1	6	9	5	4	7	2
Flagellar motor switch protein FliM	1	1	1	1	11	4	4	2
Flagellar motor switch protein FliN	641	2	1	3	5	5	3	6
Flagellar P-ring protein FlgI	0	1	0	0	0	0	0	0
Flagellar protein FlgJ [peptidoglycan hydrolase] (EC 3.2.1.-)	1	1	1	7	1	5	1	4
Flagellar protein FlhE	0	0	0	0	0	0	2	0
Flagellar protein FliJ	1	2	1	1	1	1	1	1
Flagellar synthesis regulator FleN	0	0	0	0	0	0	0	0
Flagellar transcriptional activator FlhC	0	2	0	0	0	0	0	0
Flagellar transcriptional activator FlhD	0	0	0	0	0	0	0	0
Flagellin protein FlaA	3981	1	45	55	127	63	80	45
Flagellin protein FlaB	3	1	2	27	6	6	7	2
Flagellin protein FlaG	2	0	2	10	20	5	0	5
Flagellum-specific ATP synthase FliI	0	0	0	3	0	0	0	1
Flavodoxin	3407	13327	6674	29999	11355	43617	84572	32379
Flavodoxin 1	110	226	103	45277	26961	51929	75001	53796
Flavodoxin 2	0	0	0	0	0	0	0	2
Flavodoxin reductases (ferredoxin-NADPH reductases) family 1	25	177	29	3	5	3	2	1
Flavohemoprotein (Hemoglobin-like protein) (Flavohemoglobin) (Nitric oxide dioxygenase) (EC 1.14.12.17)	0	0	0	1	0	0	0	0
Flavoprotein MioC	0	0	0	2	0	0	2	0
Flp pilus assembly protein RcpC/CpaB	0	0	0	1	0	0	0	0
Flp pilus assembly protein TadB	0	0	0	0	0	2	1	0
Flp pilus assembly protein TadD, contains TPR repeat	1	0	0	5	0	2	19	12
FMN reductase (EC 1.5.1.29)	1	3	1	469	1	1	2	1
FmtA protein involved in methicillin resistance	2855	9280	3921	1	1	5	3	0
FmtB (Mrp) protein involved in methicillin resistance and cell wall biosynthesis	3	0	0	0	1	1	1	0
FmtC (MrpF) protein involved in methicillin resistance	1	1	2	1	1	3	2	1
Foldase clustered with pyrimidine conversion	5826	15287	7896	2402	2637	4817	1658	206
Foldase protein PrsA precursor (EC 5.2.1.8)	18	14	2	24	43	53	24	27
Folylpolyglutamate synthase (EC 6.3.2.17)	820	2042	1266	3388	2084	2668	4916	5702
Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23)	1484	3959	1356	1310	1960	2158	1796	923
Formate dehydrogenase chain D (EC 1.2.1.2)	1	0	0	0	0	2	0	0
formate dehydrogenase formation protein FdhE	0	0	0	1	0	0	0	0
Formate dehydrogenase N alpha subunit (EC 1.2.1.2)	0	0	0	0	0	0	0	0
Formate dehydrogenase N beta subunit (EC 1.2.1.2)	0	0	0	0	0	0	0	0
Formate dehydrogenase N gamma subunit (EC 1.2.1.2)	0	0	0	0	0	0	0	0
Formate dehydrogenase O alpha subunit (EC 1.2.1.2)	0	0	1	0	1	0	1	0
Formate dehydrogenase O beta subunit (EC 1.2.1.2)	0	0	0	1	0	0	0	0
Formate dehydrogenase O gamma subunit (EC 1.2.1.2)	0	0	0	0	0	0	1	0
Formate dehydrogenase O putative subunit	0	0	0	0	0	0	0	0
Formate dehydrogenase related protein	0	0	0	0	0	0	0	0
Formate dehydrogenase-O, major subunit (EC 1.2.1.2)	0	0	0	0	0	0	0	0
Formate efflux transporter (TC 2.A.44 family)	1	1	1	1	1	5	2	1
Formate hydrogenlyase regulatory protein HycA	0	0	0	0	0	0	0	2
Formate hydrogenlyase subunit 2	1	0	0	0	0	0	0	0
Formate hydrogenlyase subunit 3	0	0	0	0	0	0	0	0
Formate hydrogenlyase subunit 4	0	0	0	0	0	0	0	1
Formate hydrogenlyase subunit 5	0	0	0	0	0	3	3	0
Formate hydrogenlyase subunit 6	0	0	0	0	0	1	0	0
Formate hydrogenlyase subunit 7	0	0	0	0	1	0	0	0
Formate hydrogenlyase transcriptional activator	3	7	4	985	944	1883	5443	1790
Formate--tetrahydrofolate ligase (EC 6.3.4.3)	858	2310	1179	2885	2827	4370	4732	2344
Formiminoglutamase (EC 3.5.3.8)	0	1	0	9	3	0	7	5
Formiminotetrahydrofolate cyclodeaminase (EC 4.3.1.4)	4	13	6	349	231	817	1007	420
Formyltetrahydrofolate deformylase (EC 3.5.1.10)	0	0	0	0	0	0	1	0
Fructokinase (EC 2.7.1.4)	1315	3750	1443	2130	1340	3639	5381	3744
Fructose repressor FruR, LacI family	0	0	0	0	0	0	1	0
fructose response regulator of fruA and EII fructose/mannose	1	55	1	1	2	2	2	1
fructose sensor histidine kinase	0	80	1	326	35	47	623	659
Fructose-1,6-bisphosphatase, Bacillus type (EC 3.1.3.11)	68	132	77	843	692	1346	2266	411
Fructose-1,6-bisphosphatase, GlpX type (EC 3.1.3.11)	9	15	6	1242	383	610	659	436
Fructose-1,6-bisphosphatase, type I (EC 3.1.3.11)	0	1	0	0	0	0	0	1
Fructose-bisphosphate aldolase class I (EC 4.1.2.13)	2	8	3	18	68	60	137	52
Fructose-bisphosphate aldolase class II (EC 4.1.2.13)	100057	223326	81239	58018	49027	87446	82343	39552
Fructose-specific phosphocarrier protein HPr (EC 2.7.1.69)	2	2	2	142	31	56	47	23
Fructoselysine kinase (EC 2.7.1.-)	0	2	0	0	0	0	0	0
Fructuronate transporter GntP	0	0	0	0	1	0	0	0
FtsK/SpoIIIE family protein, putative secretion system component EssC/YukA	0	0	0	0	0	1	0	0
Fucose permease	0	1	0	0	0	0	0	0
Fumarate and nitrate reduction regulatory protein	0	0	0	0	0	1	0	0
Fumarate hydratase class I (EC 4.2.1.2)	0	0	0	1	0	0	0	0
Fumarate hydratase class I, aerobic (EC 4.2.1.2)	2	4	1	14	3	6	3	2
Fumarate hydratase class I, anaerobic (EC 4.2.1.2)	8	13	3	1452	1346	1779	7609	4822
Fumarate hydratase class II (EC 4.2.1.2)	7	6	3	389	86	142	354	136
Fumarate reductase flavoprotein subunit (EC 1.3.99.1)	5117	10703	4483	283	458	899	346	78
Fumarate reductase subunit C	0	0	0	0	0	4	0	0
Fumarate reductase subunit D	0	0	0	0	0	0	0	0
Fumarylacetoacetate hydrolase family protein	5	7	5	400	358	607	1892	526
Functional role page for Anaerobic nitric oxide reductase transcription regulator NorR	0	0	0	0	0	0	0	0
Functional role page for Chaperone protein TorD	0	0	0	0	0	0	0	0
Functional role page for TorCAD operon transcriptional regulatory protein TorR	0	0	0	0	0	0	0	0
Fused spore maturation proteins A and B	5	7	2	149	175	292	558	286
G:T/U mismatch-specific uracil/thymine DNA-glycosylase	2	8	2	340	389	416	606	543
Galactitol utilization operon repressor	432	934	548	0	4	1	0	0
Galactocerebrosidase precursor (EC 3.2.1.46)	0	0	0	0	0	0	0	0
Galactokinase (EC 2.7.1.6)	343	1534	261	1141	839	1138	5458	643
Galactonate dehydratase (EC 4.2.1.6)	0	1	0	1	1	0	0	1
Galactosamine-6-phosphate isomerase (EC 5.3.1.-)	6	10	6	44	194	180	14	583
Galactosamine-6-phosphate isomerase (galactosamine-6-phosphate deaminase) (EC 5.3.1.-)	0	1	0	0	0	0	0	0
Galactose operon repressor, GalR-LacI family of transcriptional regulators	326	694	383	3	7	6	5	6
Galactose-1-phosphate uridylyltransferase (EC 2.7.7.10)	1784	5589	965	654	283	791	1653	875
Galactose-6-phosphate isomerase, LacA subunit (EC 5.3.1.26)	7	23	7	540	1237	2077	14	3120
Galactose-6-phosphate isomerase, LacB subunit (EC 5.3.1.26)	11	22	7	595	1067	2114	18	3193
Galactose/methyl galactoside ABC transport system, ATP-binding protein MglA (EC 3.6.3.17)	0	3	1	5	9	11	11	14
Galactose/methyl galactoside ABC transport system, D-galactose-binding periplasmic protein MglB (TC 3.A.1.2.3)	2	17	1	2	1	9	19	2
Galactose/methyl galactoside ABC transport system, permease protein MglC (TC 3.A.1.2.3)	0	0	0	0	1	1	1	0
Galactoside O-acetyltransferase (EC 2.3.1.18)	1	1	1	1	1	1	1	1
Galactosyl transferase CpsE (EC 2.7.8.-)	0	0	0	0	0	0	0	0
GALNS arylsulfatase regulator (Fe-S oxidoreductase)	7	5	5	5	494	26	6645	1099
Gamma-D-Glutamyl-meso-Diaminopimelate Amidase	1	0	0	0	0	0	0	0
Gamma-glutamyl phosphate reductase (EC 1.2.1.41)	3	9	8	1032	365	921	1609	961
Gamma-glutamyltranspeptidase (EC 2.3.2.2)	0	0	0	1	2	1	10	2
Gamma-hemolysin component C	0	0	0	1	0	0	1	2
GDP-L-fucose synthetase (EC 1.1.1.271)	0	0	0	1	0	0	0	0
GDP-mannose 4,6-dehydratase (EC 4.2.1.47)	0	0	0	1	0	1	0	0
General secretion pathway protein A	1	0	0	0	0	0	0	0
